Autism: Dorea, Coprococcus, Alistipes, Enterococcus, Parabacteroides, Shigella, Roseburia, Blautia, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Lachnospiraceae, Faecalibacterium, Bacteroides fragilis, Phascolarctobacterium, Klebsiella, Ruminococcus, Clostridium, Collinsella, Bacteroides
Urogenital Schistosomiasis: Ruminococcus, Roseburia, Enterococcus, Faecalibacterium, Bacteroides, Blautia, Parabacteroides, Enterobacteriaceae, Clostridium, Ruminococcaceae, Bifidobacterium, Faecalibacterium prausnitzii, Lachnospiraceae, Acinetobacter, Coprococcus, Alistipes, Lactobacillus, Staphylococcus, Dorea, Streptococcus
Clostridium difficile infection: Parabacteroides, Alistipes, Sutterella, Phascolarctobacterium, Megamonas, Akkermansia, Shigella, Coprococcus, Clostridium, Dorea, Collinsella, Lachnospira, Ruminococcus, Enterococcus, Klebsiella, Escherichia, Anaerostipes, Lachnospiraceae, Roseburia, Desulfovibrio
Cervical intraneoplasia: Bacteroides, Prevotella, Streptococcus, Bifidobacterium, Roseburia, Faecalibacterium, Lactobacillus, Blautia, Faecalibacterium prausnitzii, Ruminococcus, Veillonella, Corynebacterium, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Enterococcus, Haemophilus, Lachnospiraceae, Acinetobacter, Clostridium
Influenza A: Roseburia, Ruminococcus, Bacteroides, Faecalibacterium, Bifidobacterium, Blautia, Ruminococcaceae, Enterobacteriaceae, Faecalibacterium prausnitzii, Enterococcus, Staphylococcus, Lachnospiraceae, Streptococcus, Acinetobacter, Prevotella, Parabacteroides, Clostridium, Veillonella, Dialister, Haemophilus
Recurrent miscarriage: Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Enterobacteriaceae, Haemophilus, Blautia, Neisseria, Faecalibacterium, Ruminococcaceae, Roseburia, Acinetobacter, Fusobacterium, Bacteroidetes, Porphyromonas
Thyroid carcinoma: Dorea, Coprococcus, Parabacteroides, Blautia, Ruminococcus gnavus, Faecalibacterium, Enterococcus, Alistipes, Ruminococcus, Roseburia, Faecalibacterium prausnitzii, Bacteroides, Megamonas, Enterobacteriaceae, Phascolarctobacterium, Clostridium, Ruminococcaceae, Shigella, Anaerostipes, Bifidobacterium
H7N9: Pseudomonas, Dialister, Porphyromonas, Actinomyces, Haemophilus, Prevotella, Veillonella, Campylobacter, Rothia, Fusobacterium, Staphylococcus, Streptococcus, Bifidobacterium, Eubacterium, Bacteroides, Lachnospiraceae, Neisseria, Leptotrichia, Clostridium, Acinetobacter
Cholestasis: Blautia, Faecalibacterium, Roseburia, Bacteroides, Faecalibacterium prausnitzii, Coprococcus, Dorea, Ruminococcus, Enterococcus, Parabacteroides, Bifidobacterium, Enterobacteriaceae, Ruminococcaceae, Ruminococcus gnavus, Alistipes, Streptococcus, Lactobacillus, Prevotella, Clostridium, Lachnospiraceae
Undernourishment: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Faecalibacterium, Blautia, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Enterococcus, Fusobacterium
Invasive pneumococcal disease: Pseudomonas, Dialister, Porphyromonas, Haemophilus, Actinomyces, Staphylococcus, Bacteroides, Ruminococcus, Bifidobacterium, Lachnospiraceae, Prevotella, Clostridium, Parabacteroides, Acinetobacter, Ruminococcaceae, Enterobacteriaceae, Veillonella, Streptococcus, Roseburia, Rothia
Chronic rhinosinusitis with nasal polyps: Corynebacterium, Prevotella, Veillonella, Streptococcus, Staphylococcus epidermidis, Lactobacillus, Propionibacterium acnes, Neisseria, Bifidobacterium, Gardnerella vaginalis, Fusobacterium, Haemophilus, Staphylococcus, Bacteroides, Prevotella copri, Lactobacillus crispatus, Porphyromonas, Firmicutes, Bacteroidetes, Faecalibacterium prausnitzii
Alcoholic cirrhosis: Prevotella, Streptococcus, Bacteroides, Bifidobacterium, Veillonella, Corynebacterium, Roseburia, Staphylococcus, Lactobacillus, Faecalibacterium prausnitzii, Enterobacteriaceae, Faecalibacterium, Ruminococcaceae, Haemophilus, Blautia, Ruminococcus, Acinetobacter, Porphyromonas, Neisseria, Dialister
Alopecia areata: Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Blautia, Faecalibacterium prausnitzii, Staphylococcus, Enterobacteriaceae, Faecalibacterium, Ruminococcaceae, Roseburia, Haemophilus, Neisseria, Acinetobacter, Fusobacterium, Bacteroidetes, Ruminococcus
Sicca syndrome: Fusobacterium, Porphyromonas gingivalis, Veillonella, Firmicutes, Comamonas, Alloprevotella, Neisseria, Porphyromonas, Haemophilus parainfluenzae, Actinomyces, Rothia mucilaginosa, Bacteroidetes, Campylobacter, Haemophilus, Corynebacterium, Gemella, Leptotrichia, Prevotella, Streptococcus salivarius, Streptococcus
Tongue cancer: Porphyromonas, Fusobacterium, Veillonella, Leptotrichia, Actinomyces, Neisseria, Campylobacter, Haemophilus, Prevotella, Granulicatella, Corynebacterium, Rothia, Gemella, Streptococcus, Atopobium, Pseudomonas, Dialister, Staphylococcus, Lactobacillus, Propionibacterium
Giardia intestinalis infection: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Corynebacterium, Veillonella, Bifidobacterium, Faecalibacterium prausnitzii, Faecalibacterium, Roseburia, Blautia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Haemophilus, Ruminococcus, Acinetobacter, Neisseria, Enterococcus, Lachnospiraceae
Glycogen storage disease: Blautia, Faecalibacterium, Coprococcus, Dorea, Parabacteroides, Ruminococcus, Roseburia, Enterococcus, Bacteroides, Faecalibacterium prausnitzii, Alistipes, Bifidobacterium, Clostridium, Enterobacteriaceae, Ruminococcaceae, Phascolarctobacterium, Streptococcus, Lachnospiraceae, Ruminococcus gnavus, Megamonas
Frailty: Blautia, Faecalibacterium, Bacteroides, Roseburia, Coprococcus, Faecalibacterium prausnitzii, Dorea, Ruminococcus gnavus, Ruminococcus, Parabacteroides, Enterococcus, Bifidobacterium, Alistipes, Enterobacteriaceae, Lactobacillus, Streptococcus, Ruminococcaceae, Clostridium, Prevotella, Corynebacterium
Metabolic syndrome: Roseburia, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Parabacteroides, Coprococcus, Enterococcus, Ruminococcus, Bacteroides, Dorea, Clostridium, Alistipes, Bifidobacterium, Enterobacteriaceae, Ruminococcaceae, Megamonas, Lachnospiraceae, Streptococcus, Prevotella, Phascolarctobacterium
Pancreatic head cancer: Eubacterium, Pseudomonas, Dialister, Leptotrichia, Porphyromonas, Rothia, Actinomyces, Lachnospira, Campylobacter, Proteobacteria, Escherichia, Aggregatibacter, Haemophilus, Lachnospiraceae, Atopobium, Clostridium, Granulicatella, Fusobacterium, Acinetobacter, Parabacteroides
Hepatitis B associated liver failure: Firmicutes, Veillonella, Lactobacillus, Prevotella, Streptococcus, Corynebacterium, Bacteroidetes, Propionibacterium acnes, Staphylococcus epidermidis, Alloprevotella, Megasphaera, Fusobacterium, Neisseria, Haemophilus, Gardnerella vaginalis, Peptoniphilus, Bifidobacterium, Staphylococcus, Bacteroides, Porphyromonas
Bladder cancer: Lactobacillus, Bacteroides, Megasphaera, Prevotella, Bifidobacterium, Veillonella, Streptococcus, Pseudomonas, Staphylococcus, Dialister, Roseburia, Bacteroidetes, Ruminococcus, Haemophilus, Porphyromonas, Parabacteroides, Enterobacteriaceae, Clostridium, Ruminococcaceae, Faecalibacterium
Kostmann syndrome: Prevotella, Lactobacillus, Streptococcus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Roseburia, Faecalibacterium, Blautia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Ruminococcus, Acinetobacter, Enterococcus, Fusobacterium
Diarrhea: Lactobacillus, Prevotella, Bacteroides, Streptococcus, Bifidobacterium, Blautia, Faecalibacterium prausnitzii, Faecalibacterium, Corynebacterium, Veillonella, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Neisseria, Parabacteroides
Seborrheic dermatitis: Lactobacillus, Bacteroides, Streptococcus, Prevotella, Faecalibacterium, Blautia, Bifidobacterium, Roseburia, Ruminococcus, Veillonella, Faecalibacterium prausnitzii, Enterobacteriaceae, Staphylococcus, Corynebacterium, Ruminococcaceae, Enterococcus, Acinetobacter, Bacteroidetes, Haemophilus, Parabacteroides
Edentulism: Filifactor alocis, Tanerella forsythia, Prevotella denticola, Haemophilus parainfluenzae, Rothia aeria, Prevotella oris, Neisseria oralis, Corynebacterium durum, Treponema denticola, Pseudoramibacter alactolyticus, Mycoplasma faucium, Prevotella melaninogenica, Fretibacterium, Fretibacterium fastidiosum, Prevotella nigrescens, Neisseria flavescens, Neisseria subflava, Eubacterium nodatum, Porphyromonas gingivalis, Selenomonas
Generalized anxiety disorder: Alistipes, Parabacteroides, Dorea, Coprococcus, Phascolarctobacterium, Enterococcus, Shigella, Anaerostipes, Megamonas, Ruminococcus, Akkermansia, Sutterella, Roseburia, Subdoligranulum, Blautia, Clostridium, Faecalibacterium, Collinsella, Escherichia coli, Lachnospiraceae
Chronic ocular graft-versus-host disease: Corynebacterium, Lactobacillus, Prevotella, Streptococcus, Veillonella, Staphylococcus epidermidis, Propionibacterium acnes, Bifidobacterium, Bacteroides, Neisseria, Firmicutes, Haemophilus, Staphylococcus, Bacteroidetes, Faecalibacterium prausnitzii, Fusobacterium, Prevotella copri, Enterobacteriaceae, Lactobacillus crispatus, Gardnerella vaginalis
Pediculosis: Lactobacillus, Corynebacterium, Streptococcus, Prevotella, Veillonella, Staphylococcus epidermidis, Bacteroides, Bifidobacterium, Propionibacterium acnes, Bipolaris, Staphylococcus, Faecalibacterium prausnitzii, Blautia, Aspergillus fumigatus, Bacteroidetes, Faecalibacterium, Enterobacteriaceae, Haemophilus, Neisseria, Firmicutes
Rosacea: Staphylococcus epidermidis, Propionibacterium acnes, Moraxella nonliquefaciens, Rhinovirus, Human herpesvirus 6, Globicatella, Haemophilus influenzae, Lactobacillus iners, Varibaculum cambriense, Gardnerella vaginalis, Propionimicrobium lymphophilum, Dolosigranulum pigrum, Aspergillus fumigatus, Lactobacillus crispatus, Staphylococcus aureus, Lactobacillus sakei, Peptoanaerobacter, Oceanivirga, Moraxella catarrhalis, Roseolovirus
Familial Mediterranean fever: Lactobacillus, Streptococcus, Prevotella, Bacteroides, Corynebacterium, Bifidobacterium, Blautia, Veillonella, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Neisseria, Bacteroidetes
AA amyloidosis: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Faecalibacterium, Enterobacteriaceae, Roseburia, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Fusobacterium, Bacteroidetes
Mucosa-associated lymphoid tissue lymphoma: Lactobacillus, Bacteroides, Streptococcus, Blautia, Faecalibacterium, Prevotella, Bifidobacterium, Roseburia, Faecalibacterium prausnitzii, Corynebacterium, Veillonella, Staphylococcus, Enterobacteriaceae, Ruminococcus, Ruminococcaceae, Bacteroidetes, Firmicutes, Acinetobacter, Enterococcus, Haemophilus
Fibromyalgia: Lactobacillus, Bacteroides, Streptococcus, Prevotella, Faecalibacterium, Blautia, Roseburia, Bifidobacterium, Ruminococcus, Enterobacteriaceae, Veillonella, Faecalibacterium prausnitzii, Corynebacterium, Parabacteroides, Enterococcus, Ruminococcaceae, Staphylococcus, Lachnospiraceae, Coprococcus, Acinetobacter
Chronic liver disease: Prevotella, Veillonella, Streptococcus, Haemophilus, Bacteroides, Bifidobacterium, Porphyromonas, Lactobacillus, Dialister, Staphylococcus, Corynebacterium, Pseudomonas, Actinomyces, Neisseria, Roseburia, Enterobacteriaceae, Ruminococcaceae, Fusobacterium, Acinetobacter, Faecalibacterium prausnitzii
Colon polyps: Lactobacillus, Bacteroides, Streptococcus, Blautia, Prevotella, Faecalibacterium, Roseburia, Bifidobacterium, Faecalibacterium prausnitzii, Corynebacterium, Veillonella, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Parabacteroides, Coprococcus, Clostridium
Collagenous colitis: Parabacteroides, Ruminococcus, Roseburia, Enterococcus, Clostridium, Faecalibacterium, Bacteroides, Faecalibacterium prausnitzii, Blautia, Coprococcus, Alistipes, Lachnospiraceae, Dorea, Enterobacteriaceae, Bifidobacterium, Ruminococcaceae, Phascolarctobacterium, Megamonas, Acinetobacter, Dialister
Common Variable Immunodeficieny: Streptococcus, Prevotella, Corynebacterium, Bacteroides, Bifidobacterium, Lactobacillus, Veillonella, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Enterobacteriaceae, Staphylococcus, Roseburia, Ruminococcaceae, Ruminococcus, Acinetobacter, Haemophilus, Enterococcus, Neisseria, Fusobacterium
Sepsis: Corynebacterium, Prevotella, Lactobacillus, Streptococcus, Veillonella, Bifidobacterium, Bacteroides, Neisseria, Haemophilus, Faecalibacterium prausnitzii, Staphylococcus, Fusobacterium, Enterobacteriaceae, Ruminococcaceae, Blautia, Faecalibacterium, Bacteroidetes, Porphyromonas, Acinetobacter, Roseburia
Periodontal abscess: Lactobacillus iners, Streptococcus gordonii, Prevotella pallens, Haemophilus influenzae, Campylobacter rectus, Granulicatella adiacens, Lactobacillus crispatus, Gardnerella vaginalis, Veillonella parvula, Rothia dentocariosa, Campylobacter concisus, Rothia mucilaginosa, Porphyromonas endodontalis, Atopobium vaginae, Lactobacillus gasseri, Haemophilus parainfluenzae, Porphyromonas gingivalis, Dolosigranulum, Streptococcus oralis, Treponema socranskii
Gestational diabetes + hyperlipidemia: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Bacteroides, Bifidobacterium, Veillonella, Faecalibacterium prausnitzii, Faecalibacterium, Blautia, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Ruminococcus, Acinetobacter, Neisseria, Enterococcus, Lachnospiraceae
Anti-N-methyl-D-aspartate receptor encephalitis: Blautia, Bacteroides, Faecalibacterium, Lactobacillus, Streptococcus, Prevotella, Bifidobacterium, Faecalibacterium prausnitzii, Roseburia, Corynebacterium, Veillonella, Ruminococcus, Enterobacteriaceae, Ruminococcaceae, Staphylococcus, Enterococcus, Coprococcus, Acinetobacter, Parabacteroides, Dorea
Atrial fibrillation: Blautia, Faecalibacterium, Bacteroides, Roseburia, Ruminococcus, Faecalibacterium prausnitzii, Bifidobacterium, Lactobacillus, Streptococcus, Enterococcus, Coprococcus, Prevotella, Parabacteroides, Enterobacteriaceae, Ruminococcaceae, Dorea, Staphylococcus, Veillonella, Corynebacterium, Clostridium
Pemphigus vulgaris: Bacteroides, Blautia, Lactobacillus, Faecalibacterium, Streptococcus, Prevotella, Faecalibacterium prausnitzii, Bifidobacterium, Roseburia, Corynebacterium, Ruminococcus, Veillonella, Enterobacteriaceae, Ruminococcaceae, Enterococcus, Staphylococcus, Coprococcus, Parabacteroides, Acinetobacter, Dorea
Orofacial granulomatosis: Staphylococcus epidermidis, Corynebacterium, Prevotella, Gardnerella vaginalis, Lactobacillus, Veillonella, Propionibacterium acnes, Lactobacillus crispatus, Streptococcus, Lactobacillus iners, Haemophilus parainfluenzae, Lactobacillus gasseri, Veillonella parvula, Staphylococcus aureus, Prevotella copri, Neisseria, Haemophilus influenzae, Fusobacterium, Haemophilus, Bifidobacterium
Radiation enteritis: Bacteroides, Lactobacillus, Blautia, Streptococcus, Faecalibacterium, Prevotella, Faecalibacterium prausnitzii, Bifidobacterium, Roseburia, Corynebacterium, Veillonella, Ruminococcus, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Coprococcus, Parabacteroides, Clostridium
Intrahepatic Cholangiocarcinoma: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Bifidobacterium, Corynebacterium, Faecalibacterium prausnitzii, Staphylococcus, Roseburia, Haemophilus, Faecalibacterium, Enterobacteriaceae, Ruminococcaceae, Neisseria, Blautia, Ruminococcus, Dialister, Porphyromonas, Acinetobacter
Osteoporosis: Bacteroides, Streptococcus, Prevotella, Lactobacillus, Blautia, Bifidobacterium, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Corynebacterium, Veillonella, Enterobacteriaceae, Ruminococcus, Staphylococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Haemophilus, Parabacteroides, Coprococcus
Cancer cachexia: Prevotella, Bacteroides, Streptococcus, Bifidobacterium, Faecalibacterium, Lactobacillus, Blautia, Roseburia, Corynebacterium, Faecalibacterium prausnitzii, Veillonella, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Clostridium, Parabacteroides
Lower respiratory tract infection: Moraxella catarrhalis, Dolosigranulum pigrum, Rhinovirus, Human herpesvirus 6, Moraxella nonliquefaciens, Varibaculum cambriense, Propionimicrobium lymphophilum, Lactobacillus sakei, Haemophilus influenzae, Staphylococcus epidermidis, Propionibacterium acnes, Globicatella, Lactobacillus iners, Mycoplasma pneumoniae, Aspergillus fumigatus, Corynebacterium propinquum, Peptoanaerobacter, Gardnerella vaginalis, Lactobacillus crispatus, Alloscardovia
Laryngotracheal stenosis: Prevotella, Streptococcus, Corynebacterium, Veillonella, Lactobacillus, Bifidobacterium, Bacteroides, Staphylococcus, Faecalibacterium prausnitzii, Enterobacteriaceae, Haemophilus, Roseburia, Ruminococcaceae, Faecalibacterium, Blautia, Neisseria, Acinetobacter, Ruminococcus, Porphyromonas, Fusobacterium
Down syndrome: Lactobacillus iners, Gardnerella vaginalis, Lactobacillus crispatus, Staphylococcus epidermidis, Haemophilus parainfluenzae, Veillonella parvula, Lactobacillus gasseri, Haemophilus influenzae, Streptococcus gordonii, Propionibacterium acnes, Rothia mucilaginosa, Porphyromonas gingivalis, Veillonella dispar, Comamonas, Streptococcus salivarius, Streptococcus oralis, Campylobacter rectus, Granulicatella adiacens, Prevotella pallens, Lautropia
Chronic mucocutaneous candidiasis: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Enterobacteriaceae, Faecalibacterium, Haemophilus, Ruminococcaceae, Neisseria, Roseburia, Acinetobacter, Fusobacterium, Bacteroidetes, Ruminococcus
Hyper IgE syndrome: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Enterobacteriaceae, Faecalibacterium, Ruminococcaceae, Roseburia, Haemophilus, Neisseria, Acinetobacter, Fusobacterium, Ruminococcus, Bacteroidetes
Acute cerbral infarction: Staphylococcus epidermidis, Lactobacillus crispatus, Gardnerella vaginalis, Propionibacterium acnes, Lactobacillus iners, Staphylococcus aureus, Lactobacillus gasseri, Haemophilus parainfluenzae, Veillonella parvula, Corynebacterium, Lactobacillus, Prevotella, Prevotella copri, Veillonella, Haemophilus influenzae, Streptococcus, Veillonella dispar, Rothia mucilaginosa, Streptococcus salivarius, Lautropia
Biliary atresia: Blautia, Bacteroides, Faecalibacterium, Streptococcus, Bifidobacterium, Faecalibacterium prausnitzii, Roseburia, Prevotella, Lactobacillus, Ruminococcus, Enterobacteriaceae, Corynebacterium, Ruminococcaceae, Veillonella, Enterococcus, Staphylococcus, Parabacteroides, Acinetobacter, Coprococcus, Dorea
Diabetic nephropathy: Lactobacillus, Prevotella, Streptococcus, Bacteroides, Corynebacterium, Veillonella, Bifidobacterium, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Ruminococcus, Neisseria, Acinetobacter, Enterococcus, Bacteroidetes
Allergic rhinoconjunctivitis: Corynebacterium, Prevotella, Veillonella, Lactobacillus, Streptococcus, Staphylococcus epidermidis, Propionibacterium acnes, Neisseria, Bifidobacterium, Prevotella copri, Bacteroides, Haemophilus, Fusobacterium, Lactobacillus crispatus, Staphylococcus, Gardnerella vaginalis, Faecalibacterium prausnitzii, Porphyromonas, Bacteroidetes, Enterobacteriaceae
Diaper dermatitis: Prevotella copri, Ruminococcus gnavus, Corynebacterium, Lactobacillus, Streptococcus, Prevotella, Staphylococcus epidermidis, Veillonella, Bacteroides, Faecalibacterium prausnitzii, Blautia, Bifidobacterium longum, Bifidobacterium, Propionibacterium acnes, Faecalibacterium, Clostridiales, Roseburia, Enterobacteriaceae, Akkermansia muciniphila, Ruminococcaceae
Alopecia universalis: Blautia, Faecalibacterium, Roseburia, Faecalibacterium prausnitzii, Bacteroides, Ruminococcus, Bifidobacterium, Enterobacteriaceae, Coprococcus, Enterococcus, Streptococcus, Dorea, Lactobacillus, Ruminococcaceae, Parabacteroides, Corynebacterium, Prevotella, Staphylococcus, Alistipes, Clostridium
Chronic pancreatitis: Blautia, Bacteroides, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Bifidobacterium, Ruminococcus, Streptococcus, Lactobacillus, Prevotella, Enterococcus, Coprococcus, Enterobacteriaceae, Parabacteroides, Ruminococcaceae, Dorea, Corynebacterium, Veillonella, Staphylococcus, Clostridium
Posttraumatic stress syndrome: Coprococcus, Dorea, Ruminococcus gnavus, Parabacteroides, Blautia, Enterococcus, Faecalibacterium, Ruminococcus, Anaerostipes, Alistipes, Roseburia, Faecalibacterium prausnitzii, Megamonas, Bacteroides, Subdoligranulum, Phascolarctobacterium, Shigella, Clostridium, Akkermansia, Enterobacteriaceae
Hidradenitis suppurativa: Staphylococcus epidermidis, Lactobacillus, Corynebacterium, Propionibacterium acnes, Prevotella, Streptococcus, Veillonella, Bifidobacterium, Bacteroides, Neisseria, Faecalibacterium prausnitzii, Haemophilus, Staphylococcus, Gardnerella vaginalis, Prevotella copri, Firmicutes, Bacteroidetes, Lactobacillus crispatus, Fusobacterium, Blautia
Idiopathic focal epilepsy: Streptococcus, Blautia, Bacteroides, Lactobacillus, Prevotella, Faecalibacterium, Bifidobacterium, Corynebacterium, Faecalibacterium prausnitzii, Veillonella, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Bacteroidetes, Coprococcus
Vogt-Koyagani-Harada disease: Lactobacillus, Prevotella, Streptococcus, Corynebacterium, Spirodela, Veillonella, Rhizophagus, Alicycliphilus, Bifidobacterium, Psychromonas, Bacteroides, Staphylococcus epidermidis, Propionibacterium acnes, Moraxella catarrhalis, Staphylococcus, Nocardia asteroides, Haemophilus, Lactobacillus brevis, Neisseria, Prevotella dentalis
Iron-deficiency anaemia: Prevotella, Streptococcus, Veillonella, Bifidobacterium, Bacteroides, Staphylococcus, Corynebacterium, Lactobacillus, Haemophilus, Enterobacteriaceae, Roseburia, Ruminococcaceae, Faecalibacterium prausnitzii, Faecalibacterium, Acinetobacter, Neisseria, Porphyromonas, Dialister, Ruminococcus, Blautia
Extrinsic black stain: Prevotella, Veillonella, Porphyromonas, Haemophilus, Streptococcus, Corynebacterium, Neisseria, Actinomyces, Fusobacterium, Campylobacter, Bifidobacterium, Staphylococcus, Dialister, Rothia, Pseudomonas, Bacteroides, Lactobacillus, Acinetobacter, Ruminococcaceae, Enterobacteriaceae
Meningococcal disease: Lactobacillus iners, Lactobacillus crispatus, Gardnerella vaginalis, Streptococcus gordonii, Haemophilus influenzae, Prevotella pallens, Granulicatella adiacens, Haemophilus parainfluenzae, Rothia mucilaginosa, Veillonella parvula, Porphyromonas gingivalis, Campylobacter rectus, Staphylococcus epidermidis, Streptococcus oralis, Lactobacillus gasseri, Veillonella dispar, Atopobium vaginae, Comamonas, Porphyromonas endodontalis, Lautropia
Neuro-Behcet's disease: Prevotella, Streptococcus, Bacteroides, Lactobacillus, Bifidobacterium, Corynebacterium, Veillonella, Faecalibacterium prausnitzii, Faecalibacterium, Roseburia, Blautia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Ruminococcus, Acinetobacter, Neisseria, Enterococcus, Lachnospiraceae
Miscarriage: Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Haemophilus, Neisseria, Enterobacteriaceae, Blautia, Ruminococcaceae, Faecalibacterium, Roseburia, Fusobacterium, Acinetobacter, Porphyromonas, Bacteroidetes
Huntington's Disease: Lactobacillus, Prevotella, Bacteroides, Streptococcus, Veillonella, Bifidobacterium, Staphylococcus, Roseburia, Haemophilus, Corynebacterium, Faecalibacterium, Dialister, Ruminococcus, Enterobacteriaceae, Porphyromonas, Faecalibacterium prausnitzii, Ruminococcaceae, Blautia, Pseudomonas, Neisseria
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy: Prevotella, Lactobacillus, Streptococcus, Bacteroides, Veillonella, Bifidobacterium, Haemophilus, Staphylococcus, Corynebacterium, Roseburia, Enterobacteriaceae, Dialister, Faecalibacterium prausnitzii, Ruminococcaceae, Faecalibacterium, Porphyromonas, Pseudomonas, Ruminococcus, Neisseria, Actinomyces
Kaposi's sarcoma: Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Faecalibacterium, Blautia, Enterobacteriaceae, Roseburia, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Fusobacterium, Enterococcus
Ischemic stroke: Blautia, Bacteroides, Faecalibacterium, Roseburia, Faecalibacterium prausnitzii, Ruminococcus, Bifidobacterium, Enterococcus, Lactobacillus, Streptococcus, Coprococcus, Parabacteroides, Prevotella, Enterobacteriaceae, Dorea, Ruminococcaceae, Clostridium, Corynebacterium, Veillonella, Alistipes
Wiskott-Aldrich syndrome: Bacteroides, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Streptococcus, Prevotella, Roseburia, Bifidobacterium, Lactobacillus, Corynebacterium, Ruminococcus, Veillonella, Enterobacteriaceae, Enterococcus, Ruminococcaceae, Staphylococcus, Coprococcus, Parabacteroides, Dorea, Acinetobacter
Severe congenital neutropenia: Prevotella, Corynebacterium, Streptococcus, Veillonella, Lactobacillus, Bifidobacterium, Bacteroides, Haemophilus, Neisseria, Staphylococcus, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Fusobacterium, Blautia, Faecalibacterium, Roseburia, Acinetobacter, Porphyromonas, Bacteroidetes
Vestibulodynia: Corynebacterium, Prevotella, Streptococcus, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Neisseria, Haemophilus, Staphylococcus epidermidis, Staphylococcus, Faecalibacterium prausnitzii, Propionibacterium acnes, Fusobacterium, Prevotella copri, Enterobacteriaceae, Ruminococcaceae, Bacteroidetes, Blautia, Porphyromonas
Hyperglycemia: Corynebacterium, Veillonella, Prevotella, Streptococcus, Haemophilus parainfluenzae, Lactobacillus, Neisseria, Fusobacterium, Haemophilus, Gardnerella vaginalis, Porphyromonas, Staphylococcus epidermidis, Actinomyces, Prevotella copri, Gemella, Bifidobacterium, Campylobacter, Propionibacterium acnes, Streptococcus salivarius, Veillonella parvula
