Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Vibrionimonas: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Parkinson Disease, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Diarrhea, Ovarian Neoplasms, Head and Neck Neoplasms, Constipation
Fluviicola: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Diarrhea, Constipation, Coronary Artery Disease, Head and Neck Neoplasms
Gemmatimonas: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Diarrhea, Constipation, Coronary Artery Disease, Head and Neck Neoplasms
Kluyvera: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Diarrhea, Constipation, Coronary Artery Disease, Head and Neck Neoplasms
Mesorhizobium: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Diarrhea, Constipation, Coronary Artery Disease, Head and Neck Neoplasms
Simonsiella: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Diarrhea, Constipation, Coronary Artery Disease, Head and Neck Neoplasms
Lactococcus lactis: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Clostridiales bacterium: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Fusobacterium sp. oral taxon 203: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Oribacterium parvum: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Stomach Neoplasms, Constipation, Pharyngeal Neoplasms, Mouth Neoplasms, Vascular Stiffness
Clostridium clostridioforme: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Crohn Disease, Ulcerative Colitis, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Tongue Neoplasms
Gemmiger formicilis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Constipation, Lung Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms, Pancreatic Neoplasms, Inflammatory Bowel Diseases, Esophageal Neoplasms
Robinsoniella peoriensis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
Streptococcus sobrinus: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Breast Neoplasms, Mouth Neoplasms, Celiac Disease, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Parkinson Disease, Head and Neck Neoplasms, Constipation, Tongue Neoplasms, Laryngeal Neoplasms
Victivallis vadensis: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Esophageal Neoplasms, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Ulcerative Colitis, Crohn Disease, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms
Abiotrophia defectiva: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Laryngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Mouth Neoplasms, Atherosclerosis, Uterine Cervical Neoplasms, Coronary Artery Disease
Alistipes finegoldii: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Laryngeal Neoplasms, Constipation, Head and Neck Neoplasms, Atherosclerosis, Urinary Bladder Neoplasms, Mouth Neoplasms, Coronary Artery Disease, Uterine Cervical Neoplasms
Alistipes onderdonkii: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Laryngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Atherosclerosis, Mouth Neoplasms, Coronary Artery Disease, Uterine Cervical Neoplasms
Bacteroides eggerthii: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Stomach Neoplasms, Liver Neoplasms, Celiac Disease, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Esophageal Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Urinary Bladder Neoplasms
Bacteroides sp. 3_1_40A: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Pharyngeal Neoplasms, Alzheimer Disease, Liver Neoplasms, Lung Neoplasms, Laryngeal Neoplasms, Constipation, Pancreatic Neoplasms, Coronary Artery Disease, Head and Neck Neoplasms, Atherosclerosis, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Prostatic Neoplasms
Enterobacteria phage f1: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Pharyngeal Neoplasms, Alzheimer Disease, Liver Neoplasms, Lung Neoplasms, Laryngeal Neoplasms, Constipation, Pancreatic Neoplasms, Head and Neck Neoplasms, Coronary Artery Disease, Atherosclerosis, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Prostatic Neoplasms
Megamonas funiformis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Pharyngeal Neoplasms, Alzheimer Disease, Liver Neoplasms, Lung Neoplasms, Laryngeal Neoplasms, Constipation, Pancreatic Neoplasms, Head and Neck Neoplasms, Coronary Artery Disease, Atherosclerosis, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Prostatic Neoplasms
Megamonas rupellensis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Alzheimer Disease, Diarrhea, Lung Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Laryngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Mouth Neoplasms, Atherosclerosis, Uterine Cervical Neoplasms, Coronary Artery Disease
Megasphaera micronuciformis: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Irritable Bowel Syndrome, Lung Neoplasms, Alzheimer Disease, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Liver Neoplasms, Diarrhea, Coronary Artery Disease, Hypertension, Atherosclerosis, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Stomach Neoplasms, Coronary Heart Disease
Prevotella corporis: Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Esophageal Neoplasms, Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Lung Neoplasms, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms
Anaerosporobacter: Diarrhea, Coronary Artery Disease, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension, Thrombosis, Ovarian Neoplasms, Prostatic Neoplasms, Gallbladder Neoplasms, Peripheral Arterial Disease, Tongue Neoplasms, Amyotrophic Lateral Sclerosis, Urinary Bladder Neoplasms, Rectal Neoplasms, Acute Lymphoblastic Leukemia, Laryngeal Neoplasms, Endometrial Neoplasms, Pharyngeal Neoplasms
Ruminococcus gauvreauii: Diarrhea, Coronary Artery Disease, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension, Thrombosis, Prostatic Neoplasms, Ovarian Neoplasms, Amyotrophic Lateral Sclerosis, Peripheral Arterial Disease, Urinary Bladder Neoplasms, Gallbladder Neoplasms, Crohn Disease, Tongue Neoplasms, Ulcerative Colitis, Laryngeal Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms
Corynebacterium matruchotii: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Tongue Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Laryngeal Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Rectal Neoplasms, Head and Neck Neoplasms, Constipation, Ovarian Neoplasms, Esophageal Neoplasms, Inflammatory Bowel Diseases
Peptococcus sp.: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Tongue Neoplasms, Pharyngeal Neoplasms, Ovarian Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Esophageal Neoplasms, Prostatic Neoplasms
Porphyromonas catoniae: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Tongue Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Laryngeal Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Head and Neck Neoplasms, Rectal Neoplasms, Constipation, Ovarian Neoplasms, Esophageal Neoplasms, Inflammatory Bowel Diseases
Solanum melongena: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Parabacteroides goldsteinii: Parkinson Disease, Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Diarrhea, Irritable Bowel Syndrome, Atherosclerosis, Coronary Artery Disease, Ovarian Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Peripheral Arterial Disease, Hypertension, Thrombosis, Prostatic Neoplasms, Acute Lymphoblastic Leukemia, Amyotrophic Lateral Sclerosis, Gallbladder Neoplasms, Endometrial Neoplasms
Ruminococcus sp. N15.MGS-57: Parkinson Disease, Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Diarrhea, Irritable Bowel Syndrome, Atherosclerosis, Coronary Artery Disease, Ovarian Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Peripheral Arterial Disease, Hypertension, Thrombosis, Prostatic Neoplasms, Acute Lymphoblastic Leukemia, Amyotrophic Lateral Sclerosis, Gallbladder Neoplasms, Endometrial Neoplasms
Neobacillus fumarioli: Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Urinary Bladder Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Diarrhea, Constipation, Coronary Artery Disease, Head and Neck Neoplasms
Pseudomonas putida: Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Gallbladder Neoplasms, Rectal Neoplasms, Laryngeal Neoplasms, Diarrhea, Prostatic Neoplasms, Pharyngeal Neoplasms, Endometrial Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Stomach Neoplasms, Vascular Stiffness, Liver Neoplasms, Pancreatic Neoplasms
Acinetobacter johnsonii: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
Acinetobacter schindleri: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Anaerolineae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Anoxybacillus kestanbolensis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Bifidobacterium thermacidophilum: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Candidatus Blochmannia: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Candidatus Midichloriaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Candidatus Regiella: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Candidatus Regiella insecticola: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Candidatus Tremblaya: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Cardiobacteriaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Cardiobacteriales: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Cetobacterium somerae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
Desulfobacterales: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Lactobacillus iners: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
Micrococcus luteus: Colorectal Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Ulcerative Colitis, Urinary Bladder Neoplasms, Mouth Neoplasms, Breast Neoplasms, Tongue Neoplasms, Pharyngeal Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Head and Neck Neoplasms, Parkinson Disease, Ovarian Neoplasms, Pancreatic Neoplasms, Constipation, Celiac Disease, Stomach Neoplasms, Lung Neoplasms, Gallbladder Neoplasms
Myxococcales: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Parabacteroides gordonii: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Stomach Neoplasms, Constipation, Pharyngeal Neoplasms, Mouth Neoplasms, Vascular Stiffness
Peptacetobacter hiranonis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Piscirickettsiaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Plesiomonas shigelloides: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Rhizobiaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Salmonella enterica: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
