Collinsella aerofaciens: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Obesity, Clostridium difficile infection(CDI), Cystic fibrosis, Ileal Crohn's disease(CD), Psoriasis, Asthma, Periodontal, Systemic inflammatory response syndrome, COPD, Type 1 diabetes, Colorectal carcinoma, Guttate psoriasis, Ulcerative colitis, Atopic dermatitis
Clostridiales bacterium 80/3: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridiales bacterium A2-162: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridiales bacterium AHT16: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridiales bacterium L2-14: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridium innocuum: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridium ramosum: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridium spiroforme: Type 1 diabetes, Atopic dermatitis, Liver cirrhosis, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Eczema, Diarrhea Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Kidney stones, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Type 2 diabetes, Whipple's disease, Allergy, Clostridium difficile infection(CDI), Skin and mucosal infections, Periodontal, Atopic sensitisation, Allergic sensitization
Collinsella: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Coprobacillus: Type 1 diabetes, Atopic dermatitis, Liver cirrhosis, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Eczema, Diarrhea Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Kidney stones, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Type 2 diabetes, Whipple's disease, Allergy, Clostridium difficile infection(CDI), Skin and mucosal infections, Periodontal, Atopic sensitisation, Allergic sensitization
Cronobacter: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Dehalobacterium: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Desulfotomaculum: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Dialister: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Dysgonomonas: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Edwardsiella: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Enterobacter: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Erwinia: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Erysipelothrix: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Escherichia: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Eubacterium tortuosum: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Firmicutes bacterium EG14: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Firmicutes str. C29: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Gram-negative bacterium cL10-2b-4: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Hafnia: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Human intestinal firmicute CO13: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Human intestinal firmicute CO2: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Human intestinal firmicute CO35: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Human intestinal firmicute CO4: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Human intestinal firmicute CS26: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Lachnobacterium: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Lachnospiraceae bacterium A2: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Lactococcus: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Mannheimia: Type 1 diabetes, Atopic dermatitis, Liver cirrhosis, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Eczema, Diarrhea Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Kidney stones, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Type 2 diabetes, Whipple's disease, Allergy, Clostridium difficile infection(CDI), Skin and mucosal infections, Periodontal, Atopic sensitisation, Allergic sensitization
Mastodon intestinal bacterium AN-22-6: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Mogibacterium: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Odoribacter: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Periodontal, COPD, Obesity, Asthma, Colorectal carcinoma, Inflammatory bowel disease(IBD), Cystic fibrosis, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Oligella: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Oscillibacter: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Oscillospira: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Oscillospiraceae bacterium NML 061048: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Pantoea: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Parabacteroides: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Colorectal carcinoma, Psoriasis, COPD, Inflammatory bowel disease(IBD), Periodontal, Ulcerative colitis, Asthma, Obesity, Rheumatoid arthrits, Infectious colitis, Systemic inflammatory response syndrome
Pasteurella: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Pectobacterium: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Peptostreptococcus: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Phascolarctobacterium: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Periodontal, COPD, Obesity, Asthma, Colorectal carcinoma, Inflammatory bowel disease(IBD), Cystic fibrosis, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Porphyromonas: Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Clostridium difficile infection(CDI), Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Periodontal, COPD, Colorectal carcinoma, Inflammatory bowel disease(IBD), Asthma, Ulcerative colitis, Obesity, Rheumatoid arthrits, Systemic inflammatory response syndrome, Infectious colitis
Pusillimonas: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Roseburia: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Periodontal, COPD, Obesity, Asthma, Colorectal carcinoma, Inflammatory bowel disease(IBD), Cystic fibrosis, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Rumen bacterium 8/94-32: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Rumen bacterium R-7: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Rumen bacterium R-9: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Salmonella: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Segmented filamentous bacterium: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Serratia: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Shigella: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Solobacterium: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Subdoligranulum: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Periodontal, COPD, Obesity, Asthma, Colorectal carcinoma, Inflammatory bowel disease(IBD), Cystic fibrosis, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Sutterella: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Swine fecal bacterium FPC67: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Swine fecal bacterium FPC70: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
